song_ID,stream_count,spotify_peak_rank,spotify_previous_rank,spotify_streak_days
88,934726.0,1.0,1,446.0
192,733927.0,2.0,3,108.0
221,726391.0,1.0,4,81.0
183,723210.0,2.0,2,11.0
167,679258.0,1.0,5,251.0
98,627307.0,1.0,6,237.0
250,605894.0,2.0,7,69.0
59,599948.0,7.0,9,130.0
105,594003.0,2.0,10,195.0
196,581359.0,2.0,8,6.0
94,571703.0,8.0,11,158.0
209,543029.0,12.0,12,9.0
136,535950.0,3.0,15,279.0
27,530323.0,10.0,13,34.0
230,528882.0,12.0,16,265.0
76,526571.0,13.0,14,81.0
245,508387.0,1.0,17,307.0
197,501434.0,2.0,18,81.0
39,490267.0,9.0,19,192.0
45,487791.0,11.0,21,226.0
239,483693.0,5.0,20,123.0
143,477063.0,22.0,24,446.0
134,474686.0,2.0,22,27.0
194,472650.0,3.0,23,81.0
6,469791.0,24.0,25,81.0
195,451403.0,18.0,26,557.0
174,443606.0,6.0,30,188.0
119,442740.0,9.0,28,34.0
114,439835.0,10.0,27,66.0
146,436050.0,25.0,29,48.0
243,432244.0,3.0,31,202.0
103,426845.0,1.0,33,342.0
129,426115.0,28.0,32,55.0
210,410552.0,34.0,49,5.0
57,405925.0,1.0,34,154.0
28,399525.0,4.0,37,90.0
163,396794.0,27.0,38,23.0
16,390479.0,17.0,35,13.0
20,388818.0,6.0,39,152.0
82,379566.0,34.0,36,8.0
171,377954.0,41.0,43,81.0
121,375715.0,42.0,42,26.0
148,372318.0,1.0,45,81.0
96,371138.0,3.0,40,17.0
145,370859.0,33.0,44,81.0
130,370230.0,32.0,41,38.0
255,366617.0,3.0,46,81.0
108,362395.0,3.0,50,81.0
133,361950.0,5.0,47,81.0
151,359759.0,10.0,54,62.0
215,357897.0,2.0,57,81.0
85,357720.0,3.0,52,230.0
21,354875.0,38.0,48,79.0
200,353272.0,10.0,58,80.0
92,350316.0,1.0,55,104.0
126,349083.0,8.0,59,206.0
68,348524.0,2.0,51,71.0
182,347257.0,37.0,60,71.0
251,346896.0,10.0,53,41.0
23,343009.0,1.0,68,81.0
7,343008.0,13.0,56,23.0
75,342827.0,16.0,63,81.0
220,341556.0,1.0,65,195.0
87,339140.0,45.0,62,80.0
158,338534.0,1.0,64,342.0
3,337058.0,49.0,66,81.0
217,336966.0,1.0,70,29.0
237,333121.0,4.0,69,81.0
17,329247.0,35.0,67,27.0
191,322600.0,1.0,72,81.0
241,321977.0,2.0,74,81.0
109,321465.0,6.0,71,56.0
15,320467.0,7.0,78,81.0
234,319452.0,58.0,73,81.0
128,317382.0,59.0,79,81.0
160,316698.0,16.0,80,21.0
185,316611.0,55.0,76,81.0
44,316480.0,66.0,77,74.0
72,316216.0,29.0,75,81.0
206,315634.0,54.0,83,81.0
34,313334.0,2.0,81,43.0
147,310460.0,10.0,61,8.0
152,308164.0,16.0,82,236.0
157,305963.0,47.0,84,81.0
118,301452.0,1.0,89,81.0
131,300917.0,35.0,96,81.0
73,300298.0,9.0,88,20.0
236,299741.0,3.0,93,81.0
9,297438.0,27.0,91,81.0
4,296914.0,7.0,92,269.0
177,295683.0,25.0,85,179.0
102,294443.0,22.0,97,81.0
26,293582.0,86.0,95,38.0
125,292190.0,60.0,94,66.0
13,289586.0,5.0,100,81.0
8,289373.0,4.0,113,81.0
242,289307.0,1.0,98,81.0
12,288753.0,30.0,87,58.0
63,288228.0,2.0,99,81.0
170,287512.0,2.0,101,30.0
224,286031.0,55.0,86,6.0
29,285236.0,58.0,102,81.0
223,284436.0,14.0,103,80.0
159,281773.0,8.0,147,81.0
123,281643.0,21.0,104,81.0
25,281574.0,50.0,90,6.0
225,281062.0,53.0,124,81.0
205,279398.0,16.0,110,55.0
54,279354.0,1.0,114,81.0
189,278473.0,2.0,108,34.0
111,278410.0,9.0,109,51.0
169,277959.0,2.0,106,80.0
122,276897.0,1.0,115,356.0
43,276405.0,50.0,107,81.0
231,274535.0,96.0,121,80.0
53,272423.0,1.0,117,81.0
80,272046.0,1.0,118,81.0
99,271569.0,55.0,111,81.0
132,271306.0,65.0,112,81.0
179,271163.0,86.0,123,16.0
168,269118.0,4.0,128,30.0
198,268680.0,26.0,120,81.0
229,268535.0,29.0,127,44.0
113,266749.0,9.0,126,34.0
222,266096.0,93.0,131,31.0
139,265765.0,97.0,130,36.0
207,265725.0,4.0,129,81.0
164,265323.0,54.0,119,48.0
203,265271.0,85.0,125,27.0
36,264831.0,2.0,116,34.0
66,264773.0,109.0,122,17.0
51,263667.0,6.0,139,81.0
213,263553.0,101.0,143,5.0
117,263009.0,41.0,132,61.0
2,262371.0,41.0,133,38.0
74,261420.0,5.0,137,21.0
144,260807.0,137.0,164,3.0
35,259907.0,1.0,140,81.0
226,258541.0,19.0,134,160.0
156,258458.0,6.0,136,81.0
165,258254.0,26.0,135,81.0
190,258176.0,3.0,144,81.0
175,257836.0,23.0,138,81.0
47,256826.0,72.0,142,81.0
240,256786.0,7.0,153,13.0
78,255356.0,2.0,148,37.0
153,255174.0,23.0,105,6.0
84,254907.0,1.0,146,55.0
248,254094.0,149.0,,1.0
10,253899.0,106.0,145,28.0
50,253611.0,11.0,141,41.0
100,252145.0,91.0,154,39.0
233,251164.0,1.0,152,81.0
14,251084.0,1.0,150,125.0
60,250643.0,97.0,155,11.0
69,248927.0,130.0,157,23.0
202,248325.0,103.0,167,11.0
180,247733.0,1.0,160,132.0
201,246868.0,7.0,156,25.0
187,246545.0,88.0,158,18.0
161,246377.0,4.0,170,30.0
254,246219.0,36.0,151,9.0
235,245855.0,2.0,166,30.0
120,245130.0,1.0,161,45.0
127,244690.0,3.0,159,81.0
253,244284.0,122.0,149,18.0
55,243721.0,1.0,165,25.0
107,243689.0,5.0,163,74.0
244,242109.0,4.0,162,81.0
246,240800.0,8.0,169,30.0
33,239778.0,108.0,175,11.0
40,239498.0,1.0,174,81.0
101,239357.0,2.0,172,81.0
46,238941.0,112.0,173,44.0
249,238411.0,9.0,184,3.0
155,237982.0,43.0,171,10.0
214,235734.0,27.0,176,79.0
204,233279.0,43.0,177,3.0
238,233257.0,123.0,180,11.0
186,233053.0,168.0,168,3.0
58,232597.0,39.0,185,80.0
112,231656.0,61.0,179,11.0
70,231564.0,34.0,181,16.0
1,230686.0,127.0,183,20.0
228,228850.0,1.0,186,12.0
247,227806.0,27.0,182,81.0
65,226661.0,20.0,192,15.0
106,225086.0,30.0,189,7.0
199,225022.0,56.0,197,5.0
173,224871.0,69.0,188,3.0
252,222848.0,3.0,194,5.0
91,222744.0,49.0,178,68.0
149,222482.0,183.0,199,4.0
42,222422.0,23.0,,1.0
31,221629.0,34.0,187,3.0
115,221317.0,85.0,191,2.0
218,221283.0,3.0,,1.0
137,221283.0,34.0,198,4.0
162,221196.0,114.0,,1.0
90,221126.0,10.0,,1.0
